Pregunta,Respuesta_1,Respuesta_2,Respuesta_3,Respuesta_4,Respuesta_correcta
¿Cuándo se celebró el primer mundial de fútbol?,1926,1930,1934,1938,2
¿Qué selección de fútbol ha ganado más Mundiales?,Argentina,Italia,Brasil,Alemania,3
¿Quién ganó el mundial de fútbol de 2010?,Alemania,Brasil,España,Italia,3
¿Qué selección ganó la Copa Mundial de Fútbol en Francia 98?,Brasil,Alemania,Francia,Italia,3
¿Cuántas Copas del Mundo ha ganado Italia?,1,2,3,4,4
¿En qué país ganó Alemania su primer Mundial?,Italia 90,Estados Unidos 94,Alemania 2006,Suiza 1954,4
¿Cuántas Copas del Mundo ha ganado Francia?,1,2,3,Ninguna,2
¿Cuántas Copas del Mundo ha ganado Inglaterra?,1,Ninguna,2,3,1
¿Cuál fue el primer mundial que jugó Mascherano?,Francia 98,Sudafrica 2010,Alemania 2006,Brasil 2014,3
¿Quién era el arquero titular de Argentina en el Mundial 1978?,Goycochea,Islas,Fillol,Pumpido,3
¿Quién fue el entrenador de Argentina en el Mundial de Corea y Japón 2002?,Basile,Bielsa,Pekerman,Pasarela,2
En Alemania 2006 Argentina cayó eliminada en cuartos de final. ¿Contra qué equipo?,Ucrania,Italia,España,Alemania,4
El primer partido de Argentina en la historia de los mundiales fue contra Francia en 1930. ¿Cómo acabó?,Empato 1 a 1,Gano Argentina 1 a 0,Perdió 2 a 0,Gano Argentina 2 a 1,2
¿En cuál de estos mundiales NO participó Argentina?,1982,1934,1954,1974,3
¿Quién fue el goleador del Mundial de 1986?,Cruyft,Maradona,Roger Milla,Lineker,4
A que equipo derroto Argentina en Octavos de Final en 1990,Francia,Italia,Brasil,Peru,3
¿Contra qué equipo marcó Messi su primer gol en un Mundial?,Serbia Y Montenegro,Alemania,Mexico,Costa De Marfil,1
¿En qué mundiales Argentina fue subcampeón?,En 2014,En 1930,1990 y 2014,En 1990 y 2014,En 1970,2
Quien fue el goleador de Francia 98?,Ronaldo,Batistuta,Suker,Klose,3
Quien ganó el mundial 82?,Brasil,Argentina,Italia,Inglaterra,3
